path,label,speaker,split
data/audio_ptbr/processed/bfamcv01_segment163_neutral.wav,neutral,bfamcv01,test
data/audio_ptbr/processed/bfamcv01_segment168_non-neutral-male.wav,non_neutral,bfamcv01,test
data/audio_ptbr/processed/bfamcv01_segment170_non-neutral-male.wav,non_neutral,bfamcv01,test
data/audio_ptbr/processed/bfamcv01_segment173_neutral.wav,neutral,bfamcv01,test
data/audio_ptbr/processed/bfamcv01_segment177_neutral.wav,neutral,bfamcv01,test
data/audio_ptbr/processed/bfamcv01_segment181_neutral.wav,neutral,bfamcv01,test
data/audio_ptbr/processed/bfamcv01_segment184_neutral.wav,neutral,bfamcv01,test
data/audio_ptbr/processed/bfamcv01_segment191_non-neutral-male.wav,non_neutral,bfamcv01,test
data/audio_ptbr/processed/bfamcv01_segment194_neutral.wav,neutral,bfamcv01,test
data/audio_ptbr/processed/bfamcv01_segment195_neutral.wav,neutral,bfamcv01,test
data/audio_ptbr/processed/bfamcv01_segment200_non-neutral-male.wav,non_neutral,bfamcv01,test
data/audio_ptbr/processed/bfamcv05_segment172_neutral.wav,neutral,bfamcv05,test
data/audio_ptbr/processed/bfamcv05_segment200_neutral.wav,neutral,bfamcv05,test
data/audio_ptbr/processed/bfamcv05_segment271_non-neutral-male.wav,non_neutral,bfamcv05,test
data/audio_ptbr/processed/bfamcv05_segment338_neutral.wav,neutral,bfamcv05,test
data/audio_ptbr/processed/bfamcv05_segment361_neutral.wav,neutral,bfamcv05,test
data/audio_ptbr/processed/bfamcv14_segment188_neutral.wav,neutral,bfamcv14,test
data/audio_ptbr/processed/bfamcv14_segment192_neutral.wav,neutral,bfamcv14,test
data/audio_ptbr/processed/bfamcv14_segment197_non-neutral-female.wav,non_neutral,bfamcv14,test
data/audio_ptbr/processed/bfamcv14_segment199_neutral.wav,neutral,bfamcv14,test
data/audio_ptbr/processed/bfamcv14_segment200_neutral.wav,neutral,bfamcv14,test
data/audio_ptbr/processed/bfamcv16_segment270_neutral.wav,neutral,bfamcv16,test
data/audio_ptbr/processed/bfamcv16_segment273_neutral.wav,neutral,bfamcv16,test
data/audio_ptbr/processed/bfamcv16_segment279_non-neutral-male.wav,non_neutral,bfamcv16,test
data/audio_ptbr/processed/bfamcv16_segment285_neutral.wav,neutral,bfamcv16,test
data/audio_ptbr/processed/bfamcv16_segment287_neutral.wav,neutral,bfamcv16,test
data/audio_ptbr/processed/bfamcv22_segment267_neutral.wav,neutral,bfamcv22,test
data/audio_ptbr/processed/bfamcv22_segment272_neutral.wav,neutral,bfamcv22,test
data/audio_ptbr/processed/bfamcv22_segment273_non-neutral-female.wav,non_neutral,bfamcv22,test
data/audio_ptbr/processed/bfamcv22_segment276_neutral.wav,neutral,bfamcv22,test
data/audio_ptbr/processed/bfamcv22_segment283_neutral.wav,neutral,bfamcv22,test
data/audio_ptbr/processed/bfamcv27_segment213_neutral.wav,neutral,bfamcv27,test
data/audio_ptbr/processed/bfamcv27_segment241_neutral.wav,neutral,bfamcv27,test
data/audio_ptbr/processed/bfamcv27_segment248_non-neutral-female.wav,non_neutral,bfamcv27,test
data/audio_ptbr/processed/bfamcv27_segment251_neutral.wav,neutral,bfamcv27,test
